,indicator,name,upperdistrict,value,year
0,carthefts,Красносельский,ЦАО,34.0,2013
0,carthefts,Красносельский,ЦАО,37.0,2012
0,carthefts,Красносельский,ЦАО,,2011
0,fraud,Красносельский,ЦАО,281.0,2015
0,fraud,Красносельский,ЦАО,159.0,2014
0,fraud,Красносельский,ЦАО,,2013
0,fraud,Красносельский,ЦАО,,2012
0,fraud,Красносельский,ЦАО,,2011
0,hijacking,Красносельский,ЦАО,,2015
0,hijacking,Красносельский,ЦАО,3.0,2014
0,hijacking,Красносельский,ЦАО,4.0,2013
0,hijacking,Красносельский,ЦАО,5.0,2012
0,hijacking,Красносельский,ЦАО,,2011
0,drugs,Красносельский,ЦАО,118.0,2015
0,drugs,Красносельский,ЦАО,120.0,2014
0,drugs,Красносельский,ЦАО,65.0,2013
0,drugs,Красносельский,ЦАО,,2012
0,drugs,Красносельский,ЦАО,,2011
0,publicplaces,Красносельский,ЦАО,1433.0,2015
0,publicplaces,Красносельский,ЦАО,702.0,2014
0,publicplaces,Красносельский,ЦАО,547.0,2013
0,publicplaces,Красносельский,ЦАО,,2012
0,publicplaces,Красносельский,ЦАО,,2011
0,street,Красносельский,ЦАО,709.0,2015
0,street,Красносельский,ЦАО,404.0,2014
0,street,Красносельский,ЦАО,317.0,2013
0,street,Красносельский,ЦАО,,2012
0,street,Красносельский,ЦАО,,2011
0,population,Мещанский,ЦАО,60014.0,2015
0,population,Мещанский,ЦАО,59337.0,2014
0,population,Мещанский,ЦАО,59276.0,2013
0,population,Мещанский,ЦАО,58936.0,2012
0,population,Мещанский,ЦАО,58514.0,2011
0,crimebook,Мещанский,ЦАО,,2015
0,crimebook,Мещанский,ЦАО,28000.0,2014
0,crimebook,Мещанский,ЦАО,,2013
0,crimebook,Мещанский,ЦАО,22000.0,2012
0,crimebook,Мещанский,ЦАО,,2011
0,crimes,Мещанский,ЦАО,2193.0,2015
0,crimes,Мещанский,ЦАО,1773.0,2014
0,crimes,Мещанский,ЦАО,1872.0,2013
0,crimes,Мещанский,ЦАО,1901.0,2012
0,crimes,Мещанский,ЦАО,,2011
0,economiccrimes,Мещанский,ЦАО,,2015
0,economiccrimes,Мещанский,ЦАО,,2014
0,economiccrimes,Мещанский,ЦАО,,2013
0,economiccrimes,Мещанский,ЦАО,,2012
0,economiccrimes,Мещанский,ЦАО,,2011
0,gravecrimes,Мещанский,ЦАО,,2015
0,gravecrimes,Мещанский,ЦАО,,2014
0,gravecrimes,Мещанский,ЦАО,388.0,2013
0,gravecrimes,Мещанский,ЦАО,432.0,2012
0,gravecrimes,Мещанский,ЦАО,,2011
0,murders,Мещанский,ЦАО,,2015
0,murders,Мещанский,ЦАО,,2014
0,murders,Мещанский,ЦАО,,2013
0,murders,Мещанский,ЦАО,,2012
0,murders,Мещанский,ЦАО,,2011
0,healthdamage,Мещанский,ЦАО,,2015
0,healthdamage,Мещанский,ЦАО,,2014
0,healthdamage,Мещанский,ЦАО,,2013
0,healthdamage,Мещанский,ЦАО,,2012
0,healthdamage,Мещанский,ЦАО,,2011
0,robbing,Мещанский,ЦАО,,2015
0,robbing,Мещанский,ЦАО,83.0,2014
0,robbing,Мещанский,ЦАО,105.0,2013
0,robbing,Мещанский,ЦАО,,2012
0,robbing,Мещанский,ЦАО,,2011
0,banditry,Мещанский,ЦАО,,2015
0,banditry,Мещанский,ЦАО,14.0,2014
0,banditry,Мещанский,ЦАО,25.0,2013
0,banditry,Мещанский,ЦАО,,2012
0,banditry,Мещанский,ЦАО,,2011
0,thefts,Мещанский,ЦАО,1117.0,2015
0,thefts,Мещанский,ЦАО,849.0,2014
0,thefts,Мещанский,ЦАО,444.0,2013
0,thefts,Мещанский,ЦАО,,2012
0,thefts,Мещанский,ЦАО,,2011
0,burglary,Мещанский,ЦАО,15.0,2015
0,burglary,Мещанский,ЦАО,22.0,2014
0,burglary,Мещанский,ЦАО,30.0,2013
0,burglary,Мещанский,ЦАО,44.0,2012
0,burglary,Мещанский,ЦАО,,2011
0,carthefts,Мещанский,ЦАО,,2015
0,carthefts,Мещанский,ЦАО,,2014
0,carthefts,Мещанский,ЦАО,59.0,2013
0,carthefts,Мещанский,ЦАО,71.0,2012
0,carthefts,Мещанский,ЦАО,,2011
0,fraud,Мещанский,ЦАО,,2015
0,fraud,Мещанский,ЦАО,203.0,2014
0,fraud,Мещанский,ЦАО,453.0,2013
0,fraud,Мещанский,ЦАО,,2012
0,fraud,Мещанский,ЦАО,,2011
0,hijacking,Мещанский,ЦАО,,2015
0,hijacking,Мещанский,ЦАО,,2014
0,hijacking,Мещанский,ЦАО,5.0,2013
0,hijacking,Мещанский,ЦАО,6.0,2012
0,hijacking,Мещанский,ЦАО,,2011
0,drugs,Мещанский,ЦАО,,2015
0,drugs,Мещанский,ЦАО,,2014
0,drugs,Мещанский,ЦАО,,2013
0,drugs,Мещанский,ЦАО,,2012
0,drugs,Мещанский,ЦАО,,2011
0,publicplaces,Мещанский,ЦАО,,2015
0,publicplaces,Мещанский,ЦАО,,2014
0,publicplaces,Мещанский,ЦАО,,2013
0,publicplaces,Мещанский,ЦАО,,2012
0,publicplaces,Мещанский,ЦАО,,2011
0,street,Мещанский,ЦАО,,2015
0,street,Мещанский,ЦАО,,2014
0,street,Мещанский,ЦАО,,2013
0,street,Мещанский,ЦАО,,2012
0,street,Мещанский,ЦАО,,2011
0,population,Пресненский,ЦАО,126107.0,2015
0,population,Пресненский,ЦАО,125899.0,2014
0,population,Пресненский,ЦАО,125764.0,2013
0,population,Пресненский,ЦАО,124947.0,2012
0,population,Пресненский,ЦАО,124015.0,2011
0,crimebook,Пресненский,ЦАО,,2015
0,crimebook,Пресненский,ЦАО,,2014
0,crimebook,Пресненский,ЦАО,,2013
0,crimebook,Пресненский,ЦАО,,2012
0,crimebook,Пресненский,ЦАО,,2011
0,crimes,Пресненский,ЦАО,,2015
